title, director, year
One Crazy Summer, Savage Steve Holland, 1986
The Princess Bride, Rob Reiner, 1987
The Goonies, Richard Donner, 1985
The Breakfast Club, John Hughes, 1985
Monty Python and the Holy Grail, Terry Gilliam, 1975
<<<<<<< HEAD

=======
Willow, Ron Howard, 1988
>>>>>>> e23b118ef9869b71da7606b8187ace2664f2cecc
